tab,src_object,src_field,eda_object,eda_field_name,edf_object,edf_field_name,transform
EDA Program Enrollment,,,hed__Program_Enrollment__c,zBU_Additional_Program_of_Study__c,LearningProgramPlan,zBU_Additional_Program_of_Study__c,""
EDA Program Enrollment,,,hed__Program_Enrollment__c,hed__Contact__c,LearnerProgram,LearnerContactId,""
EDA Program Enrollment,,,hed__Program_Enrollment__c,hed_Account__C,LearnerProgram,LearningProgramPlanId,""
EDA Program Enrollment,,,hed__Program_Enrollment__c,Name,LearnerProgram,zBU_Enrollment_Id__c,""
EDA Program Enrollment,,,hed__Program_Enrollment__c,zBU_Program_Type__c,LearningProgramPlan,zBU_type__c,""
EDA Program Enrollment,,,hed__Program_Enrollment__c,zBU_SchoolCollege__c,LearnerProgram,LearnerAccount,""
EDA Program Enrollment,,,,,Account,zBU_Class_Standing__pc,""
EDA Contact,personID,person_id,Contact,zBU_BUID__c,Account,zBU_BUID__c,"Note: not every Constituent will have a BUID, cannot be required."
EDA Contact,email/,address,Contact,hed__UniversityEmail__c,ContactPointEmail,EmailAddress,"BU Email type only (type=BUEM) / BU Email (University type) cannot be required for constituents"
EDA Contact,email/,address,Contact,hed__AlternateEmail__c,ContactPointEmail,EmailAddress,"where email type = PERS"
EDA Contact,personBasic/names/lastName,lastName,Contact,LastName,Account,LastName,"Use source PersonRegistryVDS and nameType = PRF"
EDA Contact,personBasic/names/firstName,firstName,Contact,FirstName,Account,FirstName,"Use source PersonRegistryVDS and nameType = PRF"
EDA Contact,personBasic/names/middleName,middleName,Contact,MiddleName,Account,MiddleName,"Where nameType = displayName"
EDA Contact,personBasic/birthDate/date,date,Contact,Birthdate,Account,PersonBirthdate,"Transform to MM/DD/YYYY."
EDA Contact,personBasic/pronouns,pronouns,Contact,zBU_Pronouns__c,Account,PersonPronouns,"Priority source VDS (BBEC for Alumni data when applicable)"
EDA Contact,citizenship/country/code,code,Contact,zBU_Country_of_Citizenship__c,ContactProfile,zBU_Country_of_Citizenship__c,""
EDA Contact,relationship/countryResidence/code,code,Contact,zBU_US_Permanent_Resident__c,ContactProfile,zBU_US_Permanent_Resident__c,""
EDA Contact,group/description,description,Contact,zBU_Student_Group__c,ContactProfile,zBU_Student_Group__c,"See tbl_student_Grps / The Registrar intends to associate students with specific groups via the Campus Solutions Student Group table (e.g., Athletes, Transfer Students). Note: A person may be a member of 0 to many student groups. Student Groups currently listed in comma separated list on Contact field. Place all Student groups in listed format. Omit duplicates, if any."
EDA Contact,v2/deseasedDate/date,date,Contact,zBU_Deceased_Date__c,Account,zBU_Deceased_Date__c,"If deceasedDate is not null, pass the date to crm."
EDA Contact,miscAttributes/value,value,Contact,zBU_First_Generation__c,ContactProfile,IsFirstGenerationStudent,"FROM Integration spec: Select SCC_CAF_ATTR_VAL from SCC_CAF_PERSBIO WHERE SCC_CAF_ATTRIB_NM = 'BU_CC_FIRST_GEN' / Note: There is both an admissions version and person version of this data. We would ask that the data be returned from wherever it is found (if found at all)."
EDA Contact,phone/number,number,Contact,MobilePhone,ContactPointPhone,TelephoneNumber,"Use where CS - PHONE_TYPE or BBEC - Tel_Type = CELL. / If Type:CELL = null, then use Type:BUAL / Note: In Campus, these are the possible formats saved in the database: / 16174607203 / +16174607203 / 786/494-7332 / 34657930928 / 8618649083064 / 22190435 / If the system receives a 10 digit number, it auto format it with a / and -. Anything more or less than 10 digits, it will save the digits only and the + sign in front if also provided."
EDA Contact,phone/number,number,Contact,HomePhone,ContactPointPhone,TelephoneNumber,"Use row where CS - PHONE_TYPE or BBEC - Tel_Type = HOME / Note: In Campus, these are the possible formats saved in the database: / 16174607203 / +16174607203 / 786/494-7332 / 34657930928 / 8618649083064 / 22190435 / If the system receives a 10 digit number, it auto format it with a / and -. Anything more or less than 10 digits, it will save the digits only and the + sign in front if also provided."
EDA Contact,phone/number,number,Contact,hed_PreferredPhone__c,ContactPointPhone,TelephoneNumber,"use where phone source/isPreferred is CS - PREF_PHONE_FLAG = True / (source: Campus Solutions AND isPreferred: Y) OR BBEC - Tel_Is_Primary=True for Alumni data, when applicable"
EDA Contact,address/city,city,Contact,MailingCity OR Address.hed__MailingCity__c,Contactpointaddress,City,"Use where address/type=HOME"
EDA Contact,address/state,state,Contact,MailingState OR Address.hed__MailingState__c,Contactpointaddress,State,"Use where address/type=HOME / Express as two-letter USPS State & Territory Abbreviation"
EDA Contact,address/countryDescription,countryDescription,Contact,MailingCountry OR Address.hed__MailingCountry__c,Contactpointaddress,Country,"Use where address/type=HOME / Home Country - Express as full country description"
EDA Contact,admissionHistory/housingInterest,housingInterest,Contact,zBU_Housing_Interest__c,ContactProfile,zBU_Housing_Interest__c,"Expect a single value of 'H', 'C', or '' from the CS json. Map to the CRM Picklist accordingly: / H = Housing / C = Commuter / '' = Not Indicated"
EDA Contact,studentClass/course/v2/catalogNumber,catalogNumber,Contact,zBU_Current_Term_Classes__c,Account,zBU_Current_Term_Classes__pc,"For UEP Interim Data Enhc: We want to place all available enrolled class data concatenated as 'Catalog_Nbr+Class_Section' on Contact record for both Current Term (zBU_Current_Term_Classes__c) also Next Term (zBU_Next_Term_Classes__c). Ex. of Concatenated result for each field '102-AA, 753-A1, 804-X1' / From studentClass, select (catalogNumber + section) where enrollment status code = 'E' / If effectiveDateStart falls within Current Term.StartDate and Term.EndDate where the Term.Type = the Contact.BillingCareer, then place in Current Term Classes field. / If effectiveDateStart falls within a Future Term based on Term.StartDate and Term.EndDate where the Term.Type = the Contact.BillingCareer, then place in Next Term Classes field. / This field should be reevaluated for loading each time the integration detects a change in the student's record."
EDA Contact,studentClass/course/v2/catalogNumber,catalogNumber,Contact,zBU_Next_Term_Classes__c,Account,zBU_Next_Term_Classes__c,"For UEP Interim Data Enhc: We want to place all available enrolled class data concatenated as 'Catalog_Nbr+Class_Section' on Contact record for both Current Term (zBU_Current_Term_Classes__c) also Next Term (zBU_Next_Term_Classes__c). Ex. of Concatenated result for each field '102-AA, 753-A1, 804-X1' / From studentClass, select (catalogNumber + section) where enrollment status code = 'E' / If effectiveDateStart falls within Current Term.StartDate and Term.EndDate where the Term.Type = the Contact.BillingCareer, then place in Current Term Classes field. / If effectiveDateStart falls within a Future Term based on Term.StartDate and Term.EndDate where the Term.Type = the Contact.BillingCareer, then place in Next Term Classes field. / This field should be reevaluated for loading each time the integration detects a change in the student's record."
EDA Contact,studentClass/section,section,Contact,zBU_Current_Term_Classes__c,Account,zBU_Current_Term_Classes__pc,"For UEP Interim Data Enhc: We want to place all available enrolled class data concatenated as 'Catalog_Nbr+Class_Section' on Contact record for both Current Term (zBU_Current_Term_Classes__c) also Next Term (zBU_Next_Term_Classes__c). Ex. of Concatenated result for each field '102-AA, 753-A1, 804-X1' / From studentClass, select (catalogNumber + section) where enrollment status code = 'E' / If effectiveDateStart falls within Current Term.StartDate and Term.EndDate where the Term.Type = the Contact.BillingCareer, then place in Current Term Classes field. / If effectiveDateStart falls within a Future Term based on Term.StartDate and Term.EndDate where the Term.Type = the Contact.BillingCareer, then place in Next Term Classes field. / This field should be reevaluated for loading each time the integration detects a change in the student's record."
EDA Contact,studentClass/section,section,Contact,zBU_Next_Term_Classes__c,Account,zBU_Next_Term_Classes__pc,"For UEP Interim Data Enhc: We want to place all available enrolled class data concatenated as 'Catalog_Nbr+Class_Section' on Contact record for both Current Term (zBU_Current_Term_Classes__c) also Next Term (zBU_Next_Term_Classes__c). Ex. of Concatenated result for each field '102-AA, 753-A1, 804-X1' / From studentClass, select (catalogNumber + section) where enrollment status code = 'E' / If effectiveDateStart falls within Current Term.StartDate and Term.EndDate where the Term.Type = the Contact.BillingCareer, then place in Current Term Classes field. / If effectiveDateStart falls within a Future Term based on Term.StartDate and Term.EndDate where the Term.Type = the Contact.BillingCareer, then place in Next Term Classes field. / This field should be reevaluated for loading each time the integration detects a change in the student's record."
EDA Contact,studentSemesterInfo/serviceIndicator/code,code,Contact,hed__Citizenship_Status__c,ContactProfile,zBU__Citizenship_Status__c,"If student has an international service indicator send 'International' else send 'Domestic.' / SRVC_IND_DATA.SRVC_IND_CODE = RIN and SRVC_IND_DATA.SRVC_IND_REASON = RINT where the service indicator is active"
EDA Contact,studentSemesterInfo/academicTerm/term/code,code,Contact,zBU_Academic_Term__c,Account,zBU_Academic_Term__pc,"The term code value from SIS should be used to lookup to a Term record in CRM. / From 'studentSemester', select where the Term Code = Current Term; / If no current term exists, select the most recent term. / Field on Contact should hold the Term.TermName record WHERE the Contact.BillingCareer = Term.Type AND the CDM Term Code = Term.TermCode"
EDA Contact,studentSemesterInfo/unitsTermTotal,unitsTermTotal,Contact,zBU_Current_Term_Credits__c,AcademicTermEnrollment,zBU_Current_Term_Credits__c,""
EDA Contact,studentSemesterInfo/unitsCumulative,unitsCumulative,Contact,zBU_Cumulative_Credits__c,AcademicTermEnrollment,CumulativeGradePointAverage,""
EDA Contact,studentSemesterInfo/v2/academicProgramPrimary,academicProgramPrimary,Contact,Primary_Academic_Program__c,LearnerProgram,zBU_Primary_Academic_Program__c,"BUV NEED; Primary Academic Program"
EDA Contact,studentSemesterInfo/v2/billingCareer/code,code,Contact,zBU_Billing_Career__c,Account,zBU_Billing_Career__pc,"Expectation is to receive text array containing ONE of: / UGRD / GRAD / MEDS / LAW / DENT / NOND"
EDA Contact,studentSemesterInfo/degreeProgram/v2/expectedGradTerm/description,description,Contact,zBU_Expected_Graduation_Term__c,LearnerProgram,zBU_Expected_Graduation_Term__c,"Each Program Enrollment should have Expected Grad Term. / Select Latest-Dated Expected Graduation Term for any active Program Enrollments to map to Contact record"
EDA Contact,studentInfo/studentSemester/studentSemesterInfo/degreeProgram/isFinAidEligible,isFinAidEligible,Contact,zBU_Financial_Aid_Eligible__c,ContactProfile,zBU_Financial_Aid_Eligible__c,"CDM data brings 'Y' or 'N'"
EDA Contact,studentSemesterInfo/studentClass/enrollmentStatus/code,code,Contact,zBU_Enrolled_in_Current_Term__c,Account,zBU_Enrolled_in_Current_Term__pc,"Expectation is to receive 'Enrolled' from integration if student is enrolled in any courses for the term, or else Blank"
EDA Contact,studentSemesterInfo/withdrawalStatus/code,code,Contact,zBU_WithdrawalStatus__c,Account,zBU_WithdrawalStatus__pc,"represent the student's overall withdrawal status with the University."
EDA Contact,studentSemesterInfo/withdrawalStatus/date,date,Contact,zBU_Withdrawal_Date__c,LearnerProgram,zBU_Withdrawal_Date__c,""
EDA Contact,studentInfo/studentSemester/studentSemesterInfo/degreeProgram/graduationDate,graduationDate,Contact,zBU_Degree_Conferral_Date__c,LearnerProgram,zBU_Degree_Conferral_Date__c,"Date must be transformed to SF. / If multiple dates exist, display most recent."
EDA Contact,serviceIndicator/,code,Contact,zBU_Student_Service_Indicators__c,Account,zBU_Student_Service_Indicators__pc,"NOTE: International Service Indicator code and reason is currently used by SP to mark international checkbox. Value calculated at CS query level. Need to replicate that particular function for updated integration as well as bring in additional service indicators. / Currently active Service Indicator codes and reasons are visible in field(s) on the Contact record, or similar solution, formatted as 'Code-Reason' / Inactive Service Indicator codes and reasons are removed from the Contact record. / Logic for marking Student_Service_Indicator__c.zBU_Active__c: / 1. DATE always supersedes TERM values for marking active or inactive. / 2. If no End Date or End Term value is present, an active indicator shall remain active. / 3. To Mark Active=TRUE: / 1. If zBU_Start_Term__c = '0000' OR zBU_Start_Date__c = '19010101', then zBU_Active__c = TRUE / 2. If the Start Date is not Null, and that date is today or earlier, then zBU_Active__c = TRUE, otherwise return FALSE. / 3. If zBU_Start_Date__c is blank AND zBU_Start_Term__c refers to the current Term record that aligns with the student's zBU_Billing_Career_c, then zBU_Active__c = TRUE on the first date of the current term. / To Mark Active=FALSE: / 1. If zBU_End_Date__c is populated and zBU_End_Date__c is on or before today, then set zBU_Active__c = FALSE. / 2. If zBU_End_Term__c refers to the current OR a previous Term record that aligns with the student's zBU_Billing_Career_c, then on that term's last date set FALSE."
EDA Contact,serviceIndicator/reason,reason,Contact,zBU_Student_Service_Indicators__c,Account,zBU_Student_Service_Indicators__pc,""
EDA Contact,studentInfo/finAid/amount/accepted,accepted,Contact,zBU_Menino_Scholar__c,Account,zBU_Menino_Scholar__pc,"If student has STDNT_AWARDS.ACCEPT_AMOUNT > 0 / AND / PKG_REL_ITM_TYP.REL_ITEM_TYPE = UAMENINO then return True for yes else return False for No"
EDA Contact,,,Contact,zBU_Academic_Plan_Audience__c,Account,zBU_Academic_Plan_Audience__pc,""
EDA Contact,,,Contact,zBU_Academic_Program_Audience__c,Account,zBU_Academic_Program_Audience__pc,""
EDA Contact,,,Contact,AccountId,,,"
EDA Contact,,,Contact,zBU_Active_User__c,Account,zBU_Active_User__pc,""
EDA Contact,studentSemesterInfo/degreeProgram/v2/admitTermDescription,,Contact,zBU_Admit_Term__c,Account,zBU_Admit_Term__pc,""
EDA Contact,,,Contact,zBU_Admit_Type_Audience__c,Account,zBU_Admit_Type_Audience__pc,""
EDA Contact,,,Contact,zBU_Application_Fee_Amount__c,Account,zBU_Application_Fee_Amount__pc,""
EDA Contact,,,Contact,zBU_Application_Fee_Authorization_Number__c,Account,zBU_Application_Fee_Authorization_Number__pc,""
EDA Contact,,,Contact,zBU_Application_Fee_Paid__c,Account,zBU_Application_Fee_Paid__pc,""
EDA Contact,,,Contact,zBU_Application_Fee_Payment_Date__c,Account,zBU_Application_Fee_Payment_Date__pc,""
EDA Contact,,,Contact,zBU_Application_Fee_Payment_Method__c,Account,zBU_Application_Fee_Payment_Method__pc,""
EDA Contact,,,Contact,zBU_Application_Fee_Signature__c,Account,zBU_Application_Fee_Signature__pc,""
EDA Contact,,,Contact,Contact.zBU_UGO_Attendee_Count__c,Account,zBU_UGO_Attendee_Count__pc,""
EDA Contact,,,Contact,zBU_CareerAudience__c,Account,zBU_CareerAudience__pc,""
EDA Contact,,,Contact,hed__Do_Not_Contact_,Account,DoNotCall; HasOptedOutOfEmail,""
EDA Contact,,,Contact,HasOptedOutOfEmail,Account,HasOptedOutOfEmail,""
EDA Contact,,,Contact,zBU_EnrollmentStatusAudience__c,Account,zBU_EnrollmentStatusAudience__pc,""
EDA Contact,,,Contact,zBU_Exchange_Student__c,Account,zBU_Exchange_Student__pc,""
EDA Contact,,,Contact,zBU_FirstPoint_Visitor__c,Account,zBU_FirstPoint_Visitor__pc,""
EDA Contact,,,Contact,,Account,Name,""
EDA Contact,,,Contact,zBU_Met_International__c,Account,zBU_Met_International__pc,""
EDA Contact,,,Contact,Name,Account,Name,""
EDA Contact,,,Contact,zBU_Orientation_Course__c,Account,zBU_Orientation_Course__pc,""
EDA Contact,,,Contact,zBU_Orientation_Course_End_Date__c,Account,zBU_Orientation_Course_End_Date__pc,""
EDA Contact,,,Contact,zBU_Orientation_Course_Start_Date__c,Account,zBU_Orientation_Course_Start_Date__pc,""
EDA Contact,,,Contact,zBU_Orientation_Course_Status__c,Account,zBU_Orientation_Course_Status__pc,""
EDA Contact,,,Contact,zBU_Orientation_Eligible__c,Account,zBU_Orientation_Eligible__pc,""
EDA Contact,,,Contact,zBU_Orientation_Eligiblility_Override__c,Account,zBU_Orientation_Eligiblility_Override__pc,""
EDA Contact,,,Contact,zBU_Personalized_CTA__c,Account,zBU_Personalized_CTA__pc,""
EDA Contact,,,Contact,zBU_Personalized_CTA_Image__c,Account,zBU_Personalized_CTA_Image__pc,""
EDA Contact,,,Contact,zBU_Personalized_CTA_Link__c,Account,zBU_Personalized_CTA_Link__pc,""
EDA Contact,,,Contact,zBU_Personalized_CTA_Text__c,Account,zBU_Personalized_CTA_Text__pc,""
EDA Contact,,,Contact,hed__Preferred_Email__c,ContactPointEmail,IsPrimary,""
EDA Contact,,,Contact,zBU_ProgramActionAudience__c,Account,zBU_ProgramActionAudience__pc,""
EDA Contact,,,Contact,zBU_ProgramStatusAudience__c,Account,zBU_ProgramStatusAudience__pc,""
EDA Contact,,,Contact,zBU_SchoolCollegeAudience__c,Account,zBU_SchoolCollegeAudience__pc,""
EDA Contact,,,Contact,Sync_Contact_with_SFMC__c,Account,Sync_Contact_with_SFMC__pc,""
EDA Contact,,,Contact,conference360__Visibility_Control__c,Account,conference360__Visibility_Control__pc,""
EDA Contact,,,Contact,zBU_Welcome_Text_Name__c,Account,zBU_Welcome_Text_Name__pc,""
EDA Contact,,,,,Account,Email,""
EDA Contact,,,,,Account,PersonEmail,""
EDA Contact,,,,,Account,PersonHomePhone,""
EDA Contact,,,,,Account,PersonMobilePhone,""
EDA Account,studentSemesterInfo/degreeProgram/v2/academicPlan/plan/code,code,Account,zBU_External_ID__c,LearningProgramPlan,zBU_External_ID__c,"Logic from TDD: / 1. Select the degreeProgram row where isCurrentAcademicProgram='Y' and programCareerNumber equals careerNumber / 2. Use academicPlan/plan/code."
EDA Account,studentSemesterInfo/degreeProgram/v2/academicPlan/transcriptDescription,transcriptDescription,Account,,LearningProgramPlan,Name,""
EDA Account,,,Account,RecordTypeID,Account,RecordTypeID,""
EDA Account,,,Account,hed_Primary_Contact__,Account Contact Relationship,IsPrimaryMember,""
EDA Account,,,Account,Type,Account,Type,""
EDA Account,,,,,Account,,""
EDA Account,,,,,Account,,""
EDA Account,,,,,Account,,""
EDA Account,,,,,Account,,""
